Flow_ID, Lost_Packets, Tx_Packets, Tx_Bytes, TxOffered(Mbps),  Rx_Packets, Rx_Bytes, T_put(Mbps), Mean_Delay_Rx_Packets, Mean_Jitter, Packet_Loss_Ratio
1, 84276, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
5, 84303, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
9, 84275, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
13, 84276, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
17, 84276, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
21, 84264, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
25, 84294, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
29, 84307, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
33, 84301, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
37, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
41, 84275, 84918, 127377000, 10.1903, 1, 1500, 0.009048, 1.17906, 0, 0.999988
45, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
49, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
53, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
57, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
61, 84182, 84918, 127377000, 10.1903, 94, 141000, 0.333586, 0.849891, 0.0518227, 0.998885
65, 84231, 84918, 127377000, 10.1903, 42, 63000, 1.25574, 0.373769, 0.00126377, 0.999502
69, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
73, 84275, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
77, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
81, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
85, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
89, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
93, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
97, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
101, 84273, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
105, 84213, 84918, 127377000, 10.1903, 40, 60000, 0.14464, 2.82146, 0.00153994, 0.999525
109, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
113, 75577, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
117, 84264, 84918, 127377000, 10.1903, 0, 0, 0, 0, 0, 0
